"ord_id","ord_dt","cust_id","store_id","genius_id"
164,2021-01-02,21166,R177,
165,2021-01-02,552,R259,
166,2021-11-02,20452,R204,
167,2021-12-02,42599,R290,
168,2021-01-02,23046,R000,
169,2021-11-02,10291,R290,
170,2021-01-02,48437,R007,
171,2021-01-02,12090,R084,
172,2021-01-02,23604,R000,
173,2021-01-02,5491,R229,
174,2021-11-02,18831,R108,
175,2021-01-02,4446,R000,
176,2021-01-02,42507,R300,
177,2021-01-02,45426,R000,
178,2021-01-02,37730,R284,
179,2021-01-02,8426,R000,
180,2021-01-02,38571,R010,
181,2021-01-02,32272,R415,
182,2021-11-02,49438,R300,
183,2021-10-02,28050,R287,
184,2021-01-02,9491,R190,
185,2021-01-02,26702,R190,
186,2021-01-02,10124,R000,
187,2021-01-02,3678,R284,
188,2021-01-02,10312,R000,
189,2021-01-02,25625,R205,
190,2021-01-02,29580,R086,
191,2021-01-02,2480,R067,lc3609
192,2021-11-02,30366,R312,
193,2021-01-02,37277,R000,
194,2021-12-02,22631,R177,
195,2021-01-02,8392,R339,
196,2021-01-02,14725,R082,
197,2021-01-02,7487,R190,
198,2021-10-02,26545,R000,
199,2021-01-02,16854,R228,
200,2021-01-02,47677,R317,
201,2021-01-02,47293,R259,
202,2021-12-02,34547,R072,
203,2021-01-02,44241,R065,
204,2021-01-02,41332,R177,
205,2021-01-02,41198,R287,
206,2021-01-02,12979,R002,
207,2021-12-02,23874,R259,
208,2021-01-02,34561,R284,
209,2021-01-02,16131,R002,
210,2021-01-02,49564,R824,
211,2021-01-02,31668,R000,
212,2021-12-02,27801,R086,
213,2021-10-02,34325,R007,
214,2021-01-02,14242,R000,
215,2021-01-02,37446,R000,
216,2021-01-02,48444,R143,
217,2021-01-02,11209,R287,
218,2021-12-02,6395,R177,
219,2021-01-02,13194,R219,
220,2021-01-02,25661,R072,
221,2021-01-02,9762,R259,
222,2021-01-03,35995,R010,
223,2021-01-03,9997,R142,
224,2021-01-03,12035,R102,
225,2021-01-03,15212,R050,
226,2021-01-03,40308,R462,xl3138
227,2021-01-03,28555,R000,
228,2021-01-03,45010,R050,
229,2021-01-03,40085,R204,
230,2021-01-03,4594,R000,
231,2021-11-03,39561,R339,
232,2021-10-03,36906,R287,
233,2021-11-03,22579,R000,
234,2021-01-03,16853,R312,
235,2021-11-03,43051,R339,
236,2021-12-03,5266,R290,
237,2021-01-03,22241,R115,
238,2021-10-03,36150,R312,
239,2021-01-03,38699,R205,
240,2021-01-03,11255,R300,
241,2021-01-03,11837,R284,
242,2021-01-03,11922,R072,
243,2021-01-03,9283,R143,
244,2021-12-03,28261,R284,
245,2021-01-03,30453,R228,
246,2021-12-03,36938,R339,
247,2021-12-03,46686,R142,
248,2021-01-03,49910,R229,
249,2021-01-03,49896,R000,
250,2021-01-03,3668,R067,lc3609
251,2021-01-03,36170,R143,yc4034
252,2021-01-03,4594,R177,
253,2021-12-03,10848,R000,
254,2021-01-03,46254,R000,
255,2021-01-03,20087,R177,
256,2021-01-03,3525,R029,ja3571
257,2021-01-03,8766,R143,
258,2021-01-03,38863,R228,
259,2021-01-03,42911,R259,
260,2021-12-03,18077,R010,rl3243
261,2021-10-03,34409,R019,
262,2021-01-03,34458,R084,
263,2021-01-03,23383,R029,ja3571
264,2021-01-03,29897,R204,hl3465
265,2021-01-03,11427,R190,
266,2021-01-03,9992,R190,
267,2021-11-03,30256,R000,
268,2021-01-03,38758,R108,
269,2021-11-03,32584,R287,
270,2021-01-03,23873,R019,
271,2021-10-03,20309,R000,
272,2021-01-03,39265,R287,
273,2021-01-03,20268,R204,
274,2021-01-03,35715,R228,
275,2021-12-03,45438,R190,
276,2021-01-03,2880,R095,
277,2021-01-03,31471,R000,
278,2021-01-03,48344,R000,
279,2021-12-03,13587,R016,te2306
280,2021-11-03,14195,R287,
281,2021-01-03,46171,R143,
282,2021-01-03,4199,R140,
283,2021-01-03,40046,R177,
284,2021-01-03,42163,R046,upm2000
285,2021-01-03,8188,R016,
286,2021-01-03,34320,R000,
287,2021-01-03,14524,R259,
288,2021-01-03,461,R231,
289,2021-01-03,49016,R177,
290,2021-01-03,28257,R000,
291,2021-01-03,15016,R290,
292,2021-01-03,16294,R415,ll3486
293,2021-01-03,31876,R084,
294,2021-11-03,24528,R095,ay2529
295,2021-01-03,16920,R287,
296,2021-01-03,279,R143,yc4034
297,2021-01-03,17037,R050,
298,2021-01-03,26943,R000,
299,2021-11-03,28128,R140,
300,2021-01-03,17279,R287,
301,2021-01-03,38360,R240,
302,2021-01-03,31307,R290,
303,2021-01-03,821,R108,
304,2021-11-03,12629,R065,zo2153
305,2021-01-03,2210,R231,
306,2021-12-03,3701,R016,
307,2021-01-03,9523,R219,
308,2021-10-03,31820,R190,
309,2021-01-03,48001,R177,
310,2021-01-03,48527,R202,xz3062
311,2021-01-03,11905,R029,
312,2021-01-03,10014,R000,
313,2021-01-03,17832,R177,
314,2021-01-03,8299,R000,
315,2021-12-03,36370,R205,
316,2021-10-03,13510,R000,
317,2021-10-03,5873,R218,
318,2021-01-03,3284,R007,
319,2021-01-03,24854,R108,
320,2021-01-03,6300,R190,
321,2021-10-03,7755,R290,
322,2021-01-03,37261,R230,
323,2021-10-03,6699,R221,
324,2021-12-04,41813,R228,
325,2021-01-04,35280,R290,
326,2021-12-04,7273,R086,
327,2021-01-04,40454,R007,
328,2021-01-04,27295,R290,
329,2021-11-04,33188,R317,
330,2021-01-04,6399,R016,
331,2021-01-04,41838,R177,
332,2021-01-04,9104,R284,
333,2021-10-04,1056,R228,
334,2021-01-04,36674,R230,
335,2021-01-04,27483,R142,
336,2021-01-04,11292,R259,
337,2021-01-04,36557,R462,
338,2021-10-04,44724,R339,
339,2021-11-04,3891,R202,
340,2021-01-04,34488,R000,
341,2021-01-04,5903,R095,
342,2021-11-04,12484,R287,
343,2021-01-04,11813,R108,
344,2021-10-04,18068,R415,
345,2021-01-04,45442,R290,
346,2021-01-04,46855,R284,
347,2021-01-04,20928,R312,
348,2021-01-04,15097,R281,
349,2021-11-04,4167,R231,
350,2021-01-04,23153,R086,
351,2021-10-04,3315,R317,
352,2021-01-04,20822,R072,
353,2021-01-04,42783,R007,
354,2021-12-04,41779,R259,
355,2021-01-04,29659,R300,
356,2021-12-04,1153,R250,
357,2021-01-04,32679,R095,
358,2021-01-04,38196,R019,mw3537
359,2021-01-04,27962,R415,
360,2021-01-04,48033,R229,
361,2021-12-04,44173,R317,
362,2021-01-04,3623,R007,
363,2021-01-04,25677,R228,
364,2021-01-04,19034,R300,
365,2021-01-04,38435,R000,
366,2021-01-04,49031,R000,
367,2021-12-04,35557,R177,
368,2021-12-04,5486,R001,
369,2021-11-04,4952,R000,
370,2021-01-04,15582,R019,
371,2021-01-04,1464,R084,
372,2021-01-04,44377,R205,
373,2021-01-04,16226,R095,
374,2021-01-04,17667,R219,
375,2021-01-04,49379,R019,
376,2021-01-04,4975,R462,
377,2021-01-04,31943,R029,ja3571
378,2021-01-04,19639,R086,
379,2021-01-04,36169,R143,
380,2021-01-04,33908,R010,
381,2021-01-04,12246,R218,
382,2021-10-04,37768,R072,
383,2021-01-04,30807,R010,
384,2021-11-04,19347,R259,
385,2021-01-04,19412,R000,
386,2021-01-04,15676,R000,
387,2021-11-04,14855,R190,
388,2021-01-04,49879,R259,
389,2021-01-04,20556,R287,
390,2021-01-04,38259,R287,
391,2021-01-04,19396,R300,
392,2021-10-04,40741,R190,
393,2021-12-04,12782,R228,jz3267
394,2021-12-04,26960,R287,
395,2021-10-04,8179,R000,
396,2021-01-04,20898,R016,te2306
397,2021-12-04,18321,R228,
398,2021-01-04,10067,R115,
399,2021-01-04,15494,R415,
400,2021-01-04,17862,R086,
401,2021-01-04,21098,R142,
402,2021-01-04,25330,R312,zw2739
403,2021-01-04,48132,R000,
404,2021-01-04,16850,R084,
405,2021-01-04,47085,R095,
406,2021-01-04,38317,R050,
407,2021-01-04,20718,R221,
408,2021-01-04,19415,R824,
409,2021-01-04,23992,R284,
410,2021-01-04,37154,R824,
411,2021-01-04,47344,R230,
412,2021-12-04,18162,R259,
413,2021-01-04,11222,R108,yf2597
414,2021-01-04,46638,R115,
415,2021-01-04,38734,R007,
416,2021-10-04,16171,R000,
417,2021-01-04,25312,R016,
418,2021-01-04,31358,R281,
419,2021-01-04,16791,R231,
420,2021-01-04,28924,R219,
421,2021-01-04,34939,R204,
422,2021-10-04,39465,R007,
423,2021-01-04,15481,R050,mmb2329
424,2021-12-04,48423,R065,
425,2021-01-04,40727,R065,
426,2021-01-04,40593,R177,
427,2021-11-04,16761,R143,
428,2021-12-04,44364,R281,
429,2021-01-04,18764,R143,yc4034
430,2021-01-04,39029,R000,
431,2021-01-04,9377,R177,
432,2021-01-04,13598,R050,
433,2021-01-04,7798,R072,
434,2021-01-05,22580,R219,
435,2021-01-05,36581,R016,
436,2021-01-05,31079,R177,
437,2021-12-05,6829,R259,
438,2021-01-05,35216,R010,
439,2021-01-05,46621,R284,
440,2021-01-05,12092,R019,
441,2021-01-05,31575,R229,
442,2021-11-05,47042,R228,
443,2021-12-05,48398,R229,
444,2021-01-05,1824,R016,
445,2021-01-05,4623,R000,
446,2021-01-05,27993,R000,
447,2021-01-05,24187,R143,
448,2021-12-05,28010,R230,
449,2021-01-05,45608,R259,
450,2021-01-05,12630,R177,
451,2021-12-05,16565,R065,
452,2021-01-05,46801,R140,
453,2021-01-05,43258,R072,
454,2021-01-05,11186,R084,
455,2021-01-05,28725,R339,
456,2021-01-05,30668,R019,
457,2021-01-05,27122,R177,
458,2021-11-05,2496,R084,
459,2021-11-05,24416,R084,
460,2021-12-05,27322,R219,
461,2021-11-05,25690,R000,
462,2021-01-05,44654,R086,
463,2021-01-05,29760,R000,
464,2021-01-05,18690,R142,
465,2021-12-05,4077,R000,
466,2021-01-05,40745,R290,
467,2021-01-05,26911,R312,zw2739
468,2021-01-05,47703,R205,
469,2021-11-05,24695,R824,
470,2021-12-05,23997,R095,
471,2021-01-05,28826,R218,
472,2021-01-05,30249,R000,
473,2021-01-05,15748,R219,
474,2021-01-05,28758,R000,
475,2021-10-05,8324,R229,
476,2021-01-05,36085,R007,
477,2021-01-05,14096,R287,
478,2021-01-05,12042,R084,
479,2021-01-05,35035,R000,
480,2021-12-05,17079,R199,
481,2021-01-05,40996,R067,
482,2021-01-05,31791,R000,
483,2021-01-05,45549,R824,
484,2021-12-05,30034,R284,
485,2021-01-05,15062,R000,
486,2021-10-05,32935,R000,
487,2021-01-05,49964,R415,
488,2021-01-05,34224,R000,
489,2021-01-05,14505,R002,
490,2021-01-05,9042,R177,
491,2021-01-05,25017,R284,
492,2021-01-05,7703,R287,
493,2021-01-05,43764,R086,
494,2021-01-05,3811,R007,
495,2021-01-05,3361,R259,
496,2021-01-05,36739,R177,
497,2021-01-05,7269,R300,
498,2021-10-05,22381,R000,
499,2021-01-05,35987,R285,
500,2021-01-05,11421,R000,
501,2021-01-05,49488,R010,
502,2021-01-05,17670,R229,
503,2021-01-05,19237,R000,
504,2021-01-05,27261,R000,
505,2021-01-05,32989,R050,
506,2021-12-05,29264,R205,
507,2021-01-05,21810,R285,
508,2021-12-05,1504,R190,
509,2021-01-05,16673,R300,
510,2021-01-05,196,R462,
511,2021-01-05,31348,R287,
512,2021-01-05,17711,R115,
513,2021-12-05,20529,R204,
514,2021-01-05,25670,R108,yf2597
515,2021-01-05,30026,R284,yz4107
516,2021-01-05,25251,R143,
517,2021-01-05,19136,R228,
518,2021-01-05,45246,R281,
519,2021-01-05,9342,R205,
520,2021-01-05,41680,R010,
521,2021-01-05,15132,R000,
522,2021-01-05,2744,R065,zo2153
523,2021-01-05,26853,R190,
524,2021-01-05,10481,R218,
525,2021-10-05,4512,R019,
526,2021-12-05,28072,R143,
527,2021-01-05,12398,R219,
528,2021-01-05,10394,R205,
529,2021-01-05,5732,R050,mmb2329
530,2021-01-05,5870,R287,
531,2021-01-05,34773,R190,
532,2021-01-05,44169,R290,
533,2021-01-05,37035,R300,
534,2021-01-05,25773,R010,
535,2021-01-05,39476,R287,
536,2021-01-05,31215,R190,
537,2021-01-05,21684,R072,
538,2021-01-05,5660,R140,
539,2021-01-05,39443,R287,
540,2021-01-06,29650,R084,
541,2021-01-06,6173,R102,
542,2021-01-06,45244,R086,
543,2021-01-06,31542,R108,
544,2021-01-06,4817,R143,
545,2021-01-06,40204,R190,
546,2021-01-06,44749,R300,
547,2021-01-06,39281,R190,
548,2021-01-06,3007,R067,
549,2021-01-06,45396,R287,
550,2021-01-06,43970,R010,
551,2021-01-06,24025,R219,
552,2021-10-06,23334,R086,
553,2021-01-06,5296,R046,upm2000
554,2021-01-06,23460,R000,
555,2021-01-06,8146,R177,
556,2021-01-06,40839,R300,
557,2021-01-06,24040,R229,
558,2021-10-06,27249,R415,
559,2021-12-06,19394,R221,
560,2021-01-06,3423,R000,
561,2021-11-06,38668,R415,
562,2021-01-06,31035,R084,
563,2021-01-06,34349,R000,
564,2021-01-06,1489,R221,
565,2021-12-06,1357,R019,
566,2021-01-06,3274,R001,
567,2021-10-06,29892,R000,
568,2021-01-06,42596,R067,
569,2021-01-06,22933,R221,
570,2021-01-06,942,R287,
571,2021-01-06,47214,R312,
572,2021-01-06,4002,R019,
573,2021-01-06,7669,R007,qz2456
574,2021-12-06,18304,R290,
575,2021-01-06,16253,R259,
576,2021-11-06,18407,R312,
577,2021-01-06,37561,R000,
578,2021-01-06,42327,R290,
579,2021-01-06,6631,R824,
580,2021-01-06,35390,R229,
581,2021-11-06,16537,R190,
582,2021-01-06,3849,R027,
583,2021-10-06,25209,R218,
584,2021-11-06,17792,R287,
585,2021-01-06,44836,R067,
586,2021-01-06,49619,R000,
587,2021-01-06,20987,R462,xl3138
588,2021-01-06,1131,R084,
589,2021-01-06,15187,R019,
590,2021-10-06,2842,R065,
591,2021-01-06,38948,R152,kl3280
592,2021-01-06,40093,R177,
593,2021-12-06,35021,R415,
594,2021-01-06,46167,R027,
595,2021-10-06,21046,R284,
596,2021-12-06,12706,R228,
597,2021-01-06,21925,R084,
598,2021-01-06,13635,R190,
599,2021-01-06,24602,R229,
600,2021-12-06,47463,R000,
601,2021-01-06,27902,R281,
602,2021-01-06,1849,R065,
603,2021-12-06,10692,R072,
604,2021-11-06,37887,R202,
605,2021-01-06,44922,R259,ft2564
606,2021-01-06,18258,R287,
607,2021-01-06,25571,R000,
608,2021-11-06,24281,R312,
609,2021-11-06,43541,R229,
610,2021-01-06,23307,R259,
611,2021-01-06,30009,R824,
612,2021-01-06,32773,R016,
613,2021-01-06,12847,R029,
614,2021-12-06,4792,R317,
615,2021-01-06,15309,R190,
616,2021-01-06,33114,R219,
617,2021-01-06,633,R000,
618,2021-01-06,27771,R339,
619,2021-01-06,30631,R108,yf2597
620,2021-01-06,35149,R016,
621,2021-01-06,19541,R219,
622,2021-01-06,23993,R190,
623,2021-01-06,5729,R000,
624,2021-01-06,3557,R084,
625,2021-01-06,32120,R339,
626,2021-01-06,32005,R415,
627,2021-10-06,32236,R285,xf2235
628,2021-11-06,8312,R218,
629,2021-01-06,37596,R230,
630,2021-01-06,28206,R287,
631,2021-01-06,469,R000,
632,2021-10-06,46575,R240,
633,2021-01-06,11565,R228,
634,2021-01-06,27431,R259,
635,2021-11-06,45113,R084,
636,2021-01-06,3983,R221,
637,2021-01-06,34988,R287,
638,2021-01-06,21171,R010,
639,2021-01-06,15228,R300,
640,2021-01-06,23217,R259,
641,2021-01-06,26697,R143,
642,2021-11-06,27167,R000,
643,2021-01-06,7304,R152,
644,2021-01-06,17693,R177,
645,2021-01-06,14692,R001,
646,2021-01-06,30230,R046,
647,2021-12-06,13830,R084,
648,2021-01-06,35108,R259,
649,2021-11-06,30458,R229,
650,2021-12-06,3801,R000,
651,2021-01-06,15932,R016,
652,2021-01-06,36503,R287,
653,2021-01-06,43306,R007,
654,2021-01-06,18903,R312,
655,2021-11-06,39579,R065,zo2153
656,2021-01-06,3751,R462,xl3138
657,2021-01-06,35412,R095,
658,2021-01-06,38312,R000,
659,2021-01-07,17755,R202,
660,2021-12-07,37706,R300,
661,2021-01-07,23766,R415,
662,2021-12-07,6408,R000,
663,2021-01-07,19353,R102,
664,2021-01-07,18419,R190,
665,2021-01-07,47120,R000,
666,2021-12-07,21552,R000,
667,2021-10-07,40817,R115,
668,2021-01-07,14360,R290,
669,2021-01-07,17653,R190,
670,2021-12-07,45644,R300,
671,2021-01-07,23182,R102,
672,2021-01-07,3893,R010,rl3243
673,2021-01-07,47806,R312,
674,2021-01-07,29578,R010,
675,2021-10-07,12344,R250,
676,2021-01-07,19755,R190,
677,2021-01-07,37664,R202,
678,2021-01-07,38614,R060,
679,2021-01-07,35203,R108,
680,2021-01-07,41502,R240,yz4222
681,2021-01-07,42731,R240,yz4222
682,2021-12-07,5235,R190,
683,2021-11-07,14399,R007,
684,2021-01-07,39459,R000,
685,2021-01-07,39433,R250,
686,2021-01-07,13674,R143,
687,2021-01-07,48330,R000,
688,2021-01-07,12783,R259,
689,2021-01-07,42516,R287,
690,2021-01-07,23355,R287,
691,2021-01-07,3683,R287,
692,2021-10-07,29373,R084,
693,2021-01-07,6572,R177,
694,2021-01-07,6227,R190,
695,2021-01-07,29114,R317,
696,2021-01-07,42789,R177,
697,2021-01-07,46367,R204,
698,2021-01-07,15391,R019,
699,2021-01-07,319,R205,
700,2021-01-07,21737,R259,
701,2021-10-07,5961,R019,
702,2021-01-07,42793,R300,
703,2021-01-07,28097,R000,
704,2021-12-07,40648,R221,
705,2021-01-07,6675,R065,
706,2021-01-07,26231,R228,
707,2021-01-07,8203,R000,
708,2021-01-07,23297,R140,
709,2021-12-07,13705,R202,
710,2021-01-07,39340,R287,
711,2021-10-07,19927,R010,
712,2021-01-07,38094,R250,cz2691
713,2021-01-07,30876,R000,
714,2021-11-07,33078,R284,
715,2021-01-07,19711,R300,
716,2021-01-07,29296,R205,
717,2021-01-07,34022,R084,
718,2021-01-07,11409,R000,
719,2021-12-07,44605,R019,
720,2021-12-07,8558,R000,
721,2021-01-07,23107,R115,
722,2021-01-07,48154,R000,
723,2021-01-07,14126,R287,
724,2021-01-07,47386,R108,
725,2021-01-07,20794,R219,
726,2021-10-07,46181,R300,
727,2021-11-07,14807,R072,
728,2021-01-07,34296,R086,
729,2021-11-07,42068,R140,
730,2021-01-07,34077,R190,
731,2021-10-07,12921,R000,
732,2021-01-07,26353,R415,
733,2021-01-07,44494,R108,
734,2021-01-07,22455,R259,
735,2021-01-07,19249,R086,
736,2021-01-07,25344,R229,
737,2021-12-07,19109,R000,
738,2021-01-07,26582,R415,
739,2021-01-07,48118,R281,
740,2021-11-07,29083,R259,
741,2021-01-07,2262,R339,
742,2021-01-07,5990,R240,
743,2021-01-07,17949,R205,
744,2021-01-07,18393,R250,
745,2021-01-07,12557,R102,
746,2021-12-07,28369,R221,
747,2021-01-07,18993,R281,
748,2021-01-07,44074,R205,
749,2021-01-07,32038,R177,
750,2021-12-07,8314,R339,
751,2021-01-07,3116,R285,
752,2021-01-07,48389,R010,
753,2021-01-07,44408,R219,zs2520
754,2021-01-07,13201,R228,
755,2021-10-07,35435,R108,
756,2021-01-07,35032,R284,yz4107
757,2021-01-07,48653,R086,
758,2021-12-07,20962,R259,
759,2021-12-07,40180,R084,
760,2021-01-07,11507,R065,
761,2021-01-07,48130,R177,
762,2021-01-07,30739,R284,
763,2021-01-07,49878,R312,
764,2021-01-07,47036,R290,ys3490
765,2021-01-07,33365,R204,hl3465
766,2021-01-07,2238,R115,
767,2021-01-07,41816,R190,
768,2021-11-08,44926,R102,
769,2021-11-08,43624,R221,
770,2021-10-08,43453,R000,
771,2021-12-08,43500,R281,
772,2021-01-08,5375,R287,
773,2021-01-08,7854,R204,
774,2021-01-08,4578,R190,
775,2021-12-08,24954,R084,
776,2021-12-08,215,R152,kl3280
777,2021-01-08,33787,R250,
778,2021-01-08,13545,R067,
779,2021-12-08,33793,R001,
780,2021-01-08,12874,R029,
781,2021-01-08,9206,R108,yf2597
782,2021-01-08,28800,R219,
783,2021-01-08,48908,R190,
784,2021-01-08,19900,R300,
785,2021-01-08,9869,R221,
786,2021-01-08,20943,R177,js5652
787,2021-12-08,13901,R177,
788,2021-01-08,9218,R010,
789,2021-01-08,47018,R007,
790,2021-01-08,32453,R228,
791,2021-01-08,6183,R143,
792,2021-11-08,10064,R229,
793,2021-01-08,5553,R230,
794,2021-01-08,4518,R108,
795,2021-01-08,20359,R060,
796,2021-12-08,21720,R300,
797,2021-01-08,16234,R285,
798,2021-01-08,6579,R177,
799,2021-01-08,16692,R000,
800,2021-01-08,24669,R019,
801,2021-01-08,9010,R019,
802,2021-10-08,19625,R108,
803,2021-01-08,1089,R001,
804,2021-01-08,17966,R007,
805,2021-12-08,6164,R190,
806,2021-01-08,49670,R065,
807,2021-01-08,15625,R218,
808,2021-01-08,9330,R229,dz2492
809,2021-01-08,26056,R000,
810,2021-01-08,2102,R019,mw3537
811,2021-01-08,8205,R019,
812,2021-12-08,15364,R000,
813,2021-11-08,6221,R142,
814,2021-12-08,39148,R229,
815,2021-12-08,38600,R000,
816,2021-12-08,26315,R230,
817,2021-01-08,27515,R415,
818,2021-01-08,48943,R177,
819,2021-12-08,11795,R115,
820,2021-01-08,38785,R140,ta2629
821,2021-11-08,48936,R219,
822,2021-01-08,22432,R007,
823,2021-01-08,48651,R300,
824,2021-01-08,14463,R002,
825,2021-01-08,31786,R000,
826,2021-12-08,20754,R312,
827,2021-01-08,21521,R229,
828,2021-01-08,35392,R084,
829,2021-10-08,21776,R285,
830,2021-01-08,15236,R177,
831,2021-01-08,36203,R072,
832,2021-01-08,43260,R221,
833,2021-01-08,1059,R010,
834,2021-01-08,35971,R000,
835,2021-01-08,35653,R240,
836,2021-01-08,48996,R221,
837,2021-12-08,31659,R204,
838,2021-01-08,35463,R312,zw2739
839,2021-01-08,17099,R000,
840,2021-01-08,6619,R190,zw2825
841,2021-01-08,24821,R204,
842,2021-10-08,11152,R143,
843,2021-10-08,45650,R000,
844,2021-01-08,9660,R281,
845,2021-11-08,27816,R219,
846,2021-01-08,44058,R010,
847,2021-01-08,7245,R000,
848,2021-10-08,18292,R218,
849,2021-12-08,41055,R010,
850,2021-12-08,45988,R218,
851,2021-01-08,4546,R086,
852,2021-01-08,42567,R000,
853,2021-12-08,9171,R152,
854,2021-12-08,16739,R219,
855,2021-12-08,15498,R016,
