"Automation Point",20,"UAPT2010040277835907350","Unassigned","Unassigned","Virtual Systems Management","Distributed","Other","Network","Event Automation","Systems Management"
"Asset & Availability Rep",21,"NTWARX0550241L04906938","Unassigned","Unassigned","Unassigned","Distributed","OpenVMS","Network","Network & Service Mgt.","Network Management"
"2E",22,"K2EP139262L0465647","ALLFUSION 2E","ALLFUSION 2E NATIONAL LANGUAGE LIBRARIES R8.1","Unassigned","Distributed","Other","Development","Unified Development Environments","Products - Dist & Testing Tools"
"Ideal",23,"IDLVSM0026245C4845","IDEAL OPTION","IDEAL OPTION FOR VSAM","Unassigned","Mainframe","MVS","Development","Unified Development Environ","Products - Datacom"
"CoolGen",24,"GENC5132ETO6048","GEN PROXY","GEN PROXY PROGRAMMING I/F FOR COM","Unassigned","Distributed","Windows","Development","Unified Development Environ","Products - Gen Group"
"Secure Content Manager",25,"E5859AITTR3840","Unassigned","Unassigned","Threat Management","Distributed","Distributed","N/A","N/A","Threat Management"
"Integrated Threat Management",26,"CA8187MI99ITM4874","Unassigned","Unassigned","Threat Management","Distributed","Distributed","N/A","N/A","Threat Management"
"Spectrum",27,"NTWDM1605NMI9907678","SPCTR DATA","SPCTR DATA MGR RPT GTW INF/INT","Network Management","Distributed","Multi Platform","Network","Network And Service Management","Network Management"
"AntiVirus",28,"ETRSCG1104CN59362LME6291","Unassigned","Unassigned","Threat Management","Distributed","Distributed","Security","Secure Content Management","Threat Management"
"AntiVirus",29,"MPLSECR0029872TLA2207","Unassigned","Unassigned","Threat Management","Mainframe","MVS","Security","Secure Content Management","Threat Management"
"Distributed Database Tools",30,"ST9782SA6397","SQL-STATION","SQL-STATION","Data Management","Distributed","Multi Platform","Data","Database Tools And Utilities","DB Management"
"DADS",31,"DADS672405P4494","DADS/PLUS","DADS/PLUS","Unassigned","Mainframe","MVS","Tools","Othr Programmer Dvlpment Tools","Products - Dist & Testing Tools"
"Storage Resource Management (SRM)",32,"SMVN1N062400559332","VANTAGE NTWK","VANTAGE NTWK 1-200 NODES","Unassigned","Distributed","Windows","Storage","SRM","Storage Resource Management"
"EUREKA Strategy",33,"EKSTRY06300264554798","EUREKA:STRATEGY-SYB","EUREKA:STRATEGY-SYB","Unassigned","Distributed","Unix","Access","End-User Query, Reporting And Analysis Tools","Products - Dist & Testing Tools"
"Calendar Routines",34,"TCOFSH056361RM53522","TRANSCENTURY","TRANSCENTURY OFFC-SPREADSHEETS","Unassigned","Distributed","Windows","Tools","Other Programmer Development Tools And Utilities","Products - Dist & Testing Tools"
"Clarity",35,"NCBR6998NC9MO2497","Clarity","Clarity PPM - Clarity Bus Rlshp Mgr Oracle","Project Management","Distributed","Multi Platform","Enterprise","Project Management","Project Portfolio Management"
"N/A",36,"CTSIN9376DC999455","Unassigned","Unassigned","Unassigned","Mainframe","MVS","N/A","N/A","N/A"
"VISION:Explorer",37,"VSNXD38890D6989","VISION:EXPLORER DATA","VISION:EXPLORER DATA DIRECT","Unassigned","Distributed","Windows","Access","End-User Query, Reporting And Analysis Tools","Products - Dist & Testing Tools"
"Remote Control",38,"URMCXX05908208TDE14816","Unassigned","Unassigned","Unassigned","Distributed","Distributed","N/A","N/A","Desktop & Server Management / Asset Management"
"Total Protection",39,"CABST532000DER9782","Unassigned","Unassigned","Unassigned","Distributed","Distributed","Systems","Other System Software","Small and Medium Business"
"NeuMICS",40,"MICSVA04196LUR024885","NEUMICS VM","NEUMICS VM AND CMS ANALYZER","Financial Management","Mainframe","MVS","Network","Performance Management","Mainframe Resource Management"
"ARCserve Backup",41,"BABL6441RUR16200","Unassigned","Unassigned","Backup Management","Distributed","Distributed","Storage","Backup And Archive Software","Storage Recovery Management"
"ARCserve Backup",42,"BABNBR588899012898","Unassigned","Unassigned","Backup Management","Distributed","Distributed","Storage","Backup And Archive Software","Storage Recovery Management"
"Siteminder",43,"STMUGC96412BWBR904091","ETR STMDR","Siteminder - ETR STMDR UGR IDMGT WEBST B-C","Security Management","Distributed","Multi Platform","N/A","N/A","Identity and Access Management"
"ARCserve Backup",44,"BXMBAB87355WBR02164","Unassigned","Unassigned","Backup Management","Distributed","Distributed","Storage","Backup And Archive Software","Storage Recovery Management"
"ARCserve Backup",45,"GMRBABWB10S159582M005842","Unassigned","Unassigned","Backup Management","Distributed","Distributed","Storage","Backup And Archive Software","Storage Recovery Management"
"Sort",46,"SRTRAM5617ABW0025429","SORT WITH","SORT WITH SRAM","Unassigned","Mainframe","MVS","Systems","Other System Software","Products - MF Misc"
"ARCserve Backup",47,"BA6167856-BWU5497","Unassigned","Unassigned","Backup Management","Distributed","Distributed","Storage","Backup And Archive Software","Storage Recovery Management"
"N/A",48,"87100RP56-13119","Unassigned","UNKNOWN","Unassigned","Distributed","Unix","N/A","N/A","N/A"
"eTrust Personal Firewall",49,"ETR5794WB04PF1802","Unassigned","Unassigned","Unassigned","Distributed","Distributed","N/A","N/A","Threat Management"
"SSA",50,"PRMIW989610B0465513","WAREHOUSE","WAREHOUSE BOSS-ITALIAN","Unassigned","Distributed","OS/400","N/A","N/A","SSA"
"ARCserve Backup",51,"BABNUR11130580S00S7850","Unassigned","Unassigned","Backup Management","Distributed","Distributed","Storage","Backup And Archive Software","Storage Recovery Management"
"ARCserve Backup",52,"BABLBR11108452S002S047725","Unassigned","Unassigned","Backup Management","Distributed","Distributed","Storage","Backup And Archive Software","Storage Recovery Management"
"Easytrieve",53,"EZKCMS1329RS0025268","EASYTRIEVE KEY","EASYTRIEVE KEY CMS","Unassigned","Mainframe","MVS","Tools","Other Programmer Development Tools And Utilities","Products - MF Output/Easytrieve"
"Secure Content Manager",54,"GMRETR8658WBSC2353","ETRUST SECURE","ETRUST SECURE CONTENT MANAGER","Threat Management","Distributed","Distributed","N/A","N/A","Threat Management"
"ARCserve Backup",55,"BABW7458TBR9403","Unassigned","Unassigned","Backup Management","Distributed","Distributed","Storage","Backup And Archive Software","Storage Recovery Management"
"Integrated Threat Management",56,"ETRIT5303NM7208","Unassigned","Unassigned","Threat Management","Distributed","Distributed","Security","Secure Content Management","Threat Management"
"N/A",57,"TAX-MN4388AVE76354","Unassigned","UNKNOWN","Unassigned","Distributed","Distributed","N/A","N/A","N/A"
"N/A",58,"ETRA8440WSVE717513","Unassigned","UNKNOWN","Unassigned","Distributed","Distributed","N/A","N/A","N/A"
"Unicenter NSM, Systems Mgt.",59,"UW4706UR11SM2758","Unassigned","Unassigned","Availability Management","Mainframe","VSE-OR-MVS","N/A","N/A","Systems Management"
"ARCserve Backup",60,"BABWU7982RW0R1108869","Unassigned","Unassigned","Backup Management","Distributed","Distributed","Storage","Backup And Archive Software","Storage Recovery Management"
"Repository",61,"REPER6104900W006638","REPOSITORY MF","REPOSITORY MF EXCHG ERWIN INTFC","Unassigned","Mainframe","MVS","Tools","Other Programmer Development Tools And Utilities","Products - MF Misc"
"Access Control",62,"ETRACN99771990001689","Unassigned","Unassigned","Security Management","Distributed","Distributed","Security","IAM","Identity and Access Management"
"BrightStor Enterprise Backup",63,"EBULNO996585A-B-02787","ENT BACKUP","ENT BACKUP AGENT FOR LOTUS NOTES","Unassigned","Distributed","Multi Platform","Storage","Backup And Archive Software","Storage Recovery Management"
"N/A",64,"SO-OPJ212A6585XD-B-F2707","Unassigned","UNKNOWN","Unassigned","Distributed","Distributed","N/A","N/A","N/A"
"ARCserve Backup",65,"CAX1190RAMDR7043","Unassigned","Unassigned","Backup Management","Distributed","Distributed","Storage","Backup And Archive Software","Storage Recovery Management"
"Ramis",66,"R9216990AMB5670","ADVANTAGE","ADVANTAGE RAMIS","Unassigned","Mainframe","VM","Tools","Other Programmer Development Tools And Utilities","Products - MF Misc"
"Asset Portfolio Management",67,"UAPM..92132OK9009748","Unassigned","Unassigned","Financial Management","Mainframe","VSE","Network","Change & Configuration Mgt.","IT Financial Management"
"Look",68,"LOO2911LKC5319","LOOK W/O","LOOK W/O CICS","Unassigned","Mainframe","MVS","Network","Performance Management","Products - MF Misc"
"Mainframe Mgmt",69,"SL36110N1996","NETMASTER SOCKET","NETMASTER SOCKET MGMT-CICS","Unassigned","Mainframe","MVS","Network","Network And Service Management","Network Management"
"ARCserve Backup",70,"BABWCU1102793108390","Unassigned","Unassigned","Backup Management","Distributed","Distributed","Storage","Backup And Archive Software","Storage Recovery Management"
"N/A",71,"P00016873OSRM74331","Unassigned","UNKNOWN","Unassigned","Distributed","Distributed","N/A","N/A","N/A"
"Ramis",72,"O6456ABSRMO6253","RAMIS FORMATD","RAMIS FORMATD SCRN MGR OPT INT","Unassigned","Mainframe","MVS","Tools","Other Programmer Development Tools And Utilities","Products - MF Misc"
"ARCserve Backup",73,"BA7906S0BW6186","Unassigned","Unassigned","Backup Management","Distributed","Distributed","Storage","Backup And Archive Software","Storage Recovery Management"
"eTrust AntiSpam",74,"ETRAS21TS782900016770","Unassigned","Unassigned","Unassigned","Distributed","Distributed","Security","Secure Content Management","Threat Management"
"SSA/Banking",75,"BKXCSM02457S00012655","IP COMBINED","IP COMBINED STATEMENT","Unassigned","Mainframe","VSE","N/A","N/A","Banking/SSA"
"Telon",76,"TLNIMS3948DS000027307","TELON IMS/DB","TELON IMS/DB TARGET OPT","Unassigned","Mainframe","MVS","Development","Unified Development Environ","Products - Dist & Testing Tools"
"APCDDS",77,"APCDD94850S0023753","APCDDS","APCDDS","Unassigned","Mainframe","MVS","Network","Output Management","Products - MF Misc"
"Erwin Modeling",78,"ERWIN.05503252PS07776","ERWIN","ERWIN","Data Management","Distributed","Windows","Development","Analysis Modeling And Design Tools","DB Management"
"Express Print",79,"XP5447ISB6759","EXPRESS","EXPRESS BUNDLE","Unassigned","Mainframe","VSE","Network","Output Management","Products - MF Misc"
"IDMS",80,"I9838LD3713","CV","CV MONITOR","Unassigned","Mainframe","MVS","Data","Pre And Post-Relational DBMS","Products - MF IDMS"
"VMLIB",81,"VML2921MN-I6312","VMLIB","VMLIB","Unassigned","Mainframe","VM","Life-Cycle","Software Configuration Management","Products - MF Misc"
"SSA",82,"M9393SCGN-F7332","MP/NET FIXED","MP/NET FIXED ASSETS INGRES","Unassigned","Distributed","Unix","N/A","N/A","SSA"
"Secure Content Manager",83,"GMRETRS9539CSPRCGM2736","ETRUST SECURE","ETRUST SECURE CONTENT MANAGER","Threat Management","Distributed","Distributed","N/A","N/A","Threat Management"
"eTrust PKI/OCS Pro",84,"OC4609SSPRO5635","ETRUST OCS","ETRUST OCS PRO","Unassigned","Distributed","Multi Platform","Security","IAM","Products - Dist & Testing Tools"
"Storage Resource Management (SRM)",85,"BRMAPS3811PBCS24400","Unassigned","Unassigned","Unassigned","Distributed","Unix","Storage","SRM","Storage Resource Management"
"N/A",86,"EP5116IDMVBCSB2735","E/PB CORPORATE","E/PB CORPORATE SERVER BUNDLE","Unassigned","Distributed","Multi Platform","N/A","N/A","N/A"
"IDMS",87,"I596590DMVS2574","IDMS VSAM","IDMS VSAM TRANSPARENCY","Unassigned","Mainframe","VSE","Data","Pre And Post-Relational DBMS","Products - Gen Group"
"Harvest",88,"CCCBSF995093905524","HARVEST CM","HARVEST CM - FIXED","Change Management","Distributed","Unix","Life-Cycle","Software Configuration Management","Enterprise Change Management"
"Spectrum",89,"NWFMVM996478G0501857","SPCTRM TECH","SPCTRM TECH PCK FOR VOIP DVCE","Network Management","Distributed","Multi Platform","Network","Performance Management","Network Management"
"Plex",90,"PLX52G4305X0596040","PLEX OPTION","PLEX OPTION FOR 5250","Unassigned","Distributed","OS/400","Development","Unified Development Environments","Products - Dist & Testing Tools"
"SSA/Banking",91,"KSAMXX7098101758","CAS/HRS KNOWLDG","CAS/HRS KNOWLDG STA-APPL MGMT","Unassigned","Mainframe","MVS","N/A","N/A","Banking/SSA"
"ARCserve Backup",92,"GMRBABWB14085ABNB03040","Unassigned","Unassigned","Backup Management","Distributed","Distributed","Storage","Backup And Archive Software","Storage Recovery Management"
"ARCserve Backup",93,"BA5629BABNBR1235","Unassigned","Unassigned","Backup Management","Distributed","Distributed","Storage","Backup And Archive Software","Storage Recovery Management"
"ARCserve Backup",94,"B6097AS00AB1565","Unassigned","Unassigned","Backup Management","Distributed","Distributed","Storage","Backup And Archive Software","Storage Recovery Management"
"UFO",95,"UFOBA38269S0011886","ADVANTAGE","ADVANTAGE UFO","Unassigned","Mainframe","VSE","Development","Unified Development Environments","Products - MF Misc"
"Message Manager \"Ilumin\"",96,"MMMWEB059321609014","MSGE MGR","MSGE MGR MAILBX MGMT WEB ACCES","Governance","Distributed","Windows","Storage","Backup And Archive Software","Storage Information Management"
"ARCserve Backup",97,"ARB6037700918000A2890","ARCSERVE 2000","ARCSERVE 2000 CLIENT AGENT FOR NT/2000 SERVER JAPANESE HITACHI OEM","Backup Management","Distributed","Distributed","Storage","Backup And Archive Software","Storage Recovery Management"
"ACF2",98,"ACF2XX03766IG018849","ACF2 FOR","ACF2 FOR VSE","Security Management","Mainframe","VSE","Security","IAM","Security Management Mainframe"
"Ingres",99,"INGVI26850020G18828","OPENINGRES","OPENINGRES VIGRAPH","Unassigned","Distributed","Unix","Development","Unified Development Environments","Misc Products/Corporate"
"Easytrieve",100,"EZUUTO09044PECB02004418","OS/EASYTRIEVE UTILITY","OS/EASYTRIEVE UTILITY OPTION","Unassigned","Mainframe","MVS","Development","Unified Development Environments","Products - MF Output/Easytrieve"
"Spectrum",101,"SP96800ECBB5473","SPECTRUM BROADBAND","SPECTRUM BROADBAND CABLE MGR","Network Management","Distributed","Multi Platform","Network","Network And Service Management","Network Management"
"ARCserve Backup",102,"BABLBR1150J005420XC6537","Unassigned","Unassigned","Backup Management","Distributed","Distributed","Storage","Backup And Archive Software","Storage Recovery Management"
"XCOM",103,"X5367TRISCO9753","XCOM","XCOM","Unassigned","Distributed","Unix","Storage","Other Storage Software","Products - MF Misc"
"eTrust Internet Security Suite",104,"ET618720RISS9748","Unassigned","Unassigned","Unassigned","Distributed","Distributed","Security","Secure Content Management","Threat Management"
"Ingres",105,"INGVIG0247317001457","OPENINGRES","OPENINGRES VIGRAPH","Unassigned","Distributed","OpenVMS","Development","Unified Development Environments","Misc Products/Corporate"
"Ingres",106,"INGCRT0578515NR04988","OPENINGRES CHARACTER","OPENINGRES CHARACTER RUNTIME","Unassigned","Distributed","Windows","Development","Unified Development Environments","Misc Products/Corporate"
"VISION:Report",107,"VSN5333ORI9151","VISION:REPRT INTRFC","VISION:REPRT INTRFC IDMS-DB","Unassigned","Mainframe","MVS","Development","Unified Development Environments","Products - MF Misc"
"Unicenter Console Management for OpenVMS",108,"CO85750M4257","COMMANDIT E.E.","COMMANDIT E.E. 10 CONN. PACK","Unassigned","Distributed","OpenVMS","Network","Performance Management","Products - Dist & Testing Tools"
"Ingres",109,"INGORT07208XARW35371","OPENINGRES OBJECT","OPENINGRES OBJECT MGT. RUNTIME","Unassigned","Distributed","Unix","Data","Rdbms And Ordbms","Misc Products/Corporate"
"ARCserve Backup",110,"CAX2676MCULARWR8678","Unassigned","Unassigned","Backup Management","Distributed","Distributed","Storage","Backup And Archive Software","Storage Recovery Management"
"IDMS",111,"IDM25270CUL02653","IDMS/CULPRIT","IDMS/CULPRIT","Unassigned","Mainframe","MVS","Tools","Othr Programmer Dvlpment Tools","Products - Gen Group"
"ARCserve Backup",112,"BABWBR1100E3045250E156971","Unassigned","Unassigned","Backup Management","Distributed","Distributed","Storage","Backup And Archive Software","Storage Recovery Management"
"ARCserve Backup",113,"BABWUR1100554900E151424","Unassigned","Unassigned","Backup Management","Distributed","Distributed","Storage","Backup And Archive Software","Storage Recovery Management"
"AntiVirus",114,"EZASOD20105340E09659","ETRUST ANTI-SPAM","ETRUST ANTI-SPAM OEMKEYS ONLY","Threat Management","Distributed","Windows","Security","Secure Content Management","Threat Management"
"AntiSpyware",115,"ETRPPL5001CNME302534355","Unassigned","Unassigned","Threat Management","Distributed","Distributed","Security","Secure Content Management","Threat Management"
"Unicenter NSM, Systems Mgt.",116,"UNSM9900039944ISV019416","Unassigned","Unassigned","Availability Management","Distributed","Distributed","N/A","N/A","Systems Management"
"Easytrieve",117,"EZUI2637WBSV005605","OS/EASYTRIEVE","OS/EASYTRIEVE ISVS","Unassigned","Mainframe","MVS","Tools","Other Programmer Development Tools And Utilities","Products - MF Output/Easytrieve"
"ARCserve Backup",118,"BABW716710EBR9651","Unassigned","Unassigned","Backup Management","Distributed","Distributed","Storage","Backup And Archive Software","Storage Recovery Management"
"ARCserve Backup",119,"BABWUR1113218GE0E09333","Unassigned","Unassigned","Backup Management","Distributed","Distributed","Storage","Backup And Archive Software","Storage Recovery Management"
"CoolGen",120,"G34905EEN5160","GEN HOST","GEN HOST REV ENGINEERING DL/1","Unassigned","Mainframe","MVS","Development","Unified Development Environ","Products - Gen Group"
"eTrust Intrusion Detection",121,"GMRETRIDSU56776A01EL6858","Unassigned","Unassigned","Unassigned","Distributed","Distributed","Security","Intrusion Detection And Firewall","Threat Management"
"ARCserve Backup",122,"BABWBR1110A97290014017853","Unassigned","Unassigned","Backup Management","Distributed","Distributed","Storage","Backup And Archive Software","Storage Recovery Management"
"CleverPath Reporter",123,"CVPRSV990051870001426502","Unassigned","Unassigned","Unassigned","Mainframe","VSE","N/A","N/A","Business Process Modeling - CTO"
"Ideal",124,"IDLCCF07127G027766","IDEAL CCF","IDEAL CCF FOR DATACOM","Unassigned","Mainframe","MVS","Development","Unified Development Environments","Products - Datacom"
"Unicenter TNG",125,"TNGAG4723LDPT3481","UNICENTER/TNG AGTS:SOLARIS","UNICENTER/TNG AGTS:SOLARIS X86","Unassigned","Distributed","Unix","Network","Event Automation","Systems Management"
"eTrust Admin",126,"ADML7040CADP96869","ETRUST ADMIN","ETRUST ADMIN OPT - LDAP","Unassigned","Distributed","Multi Platform","Security","IAM","Identity and Access Management"
"Identity Manager (w/admin)",127,"C27351AI4626","IMG PREMIUM","IMG PREMIUM CONN SAP/R3","Security Management","Distributed","Multi Platform","Security","IAM","Identity and Access Management"
"Graphics",128,"TAPX000111901KXT04715","TELLAPLAN-EXP","TELLAPLAN-EXP","Unassigned","Distributed","Unix","Development","Software Construction Components","Products - Dist & Testing Tools"
"SSA/Banking",129,"BK81170XTP8838","IP TRANSFER","IP TRANSFER PRICING","Unassigned","Distributed","Windows","N/A","N/A","Banking/SSA"
"Easytrieve",130,"EZUIPF00200150406037","OS/EASYTRIEVE IPF","OS/EASYTRIEVE IPF TSO","Unassigned","Mainframe","MVS","Development","Unified Development Environments","Products - MF Output/Easytrieve"
"N/A",131,"ENTSMG99007364S06640","ENTERPRISE","ENTERPRISE SMG","Unassigned","Distributed","Multi Platform","N/A","N/A","N/A"
"Siteminder",132,"STMSS7448SIXI4930","ETRUST STMNDR","Siteminder - ETRUST STMNDR SSO AGNT SIEBEL","Security Management","Distributed","Multi Platform","N/A","N/A","Identity and Access Management"
"Clarity",133,"NCS8661W03IXS6191","CLARITY","Clarity PPM - CLARITY SIX SIGMA METHODOLOGY","Project Management","Distributed","Multi Platform","Enterprise","Project Management","Project Portfolio Management"
"ARCserve Backup",134,"CAXDRWR40SW3390SKDN036208","Unassigned","Unassigned","Backup Management","Distributed","Distributed","Storage","Backup And Archive Software","Storage Recovery Management"
"N/A",135,"DS6208RES0KDNA3412","Unassigned","UNKNOWN","Unassigned","Distributed","Distributed","N/A","N/A","N/A"
"VISION:Results",136,"VSNR7124EES001272","VISION:RESULTS(FORMRLY","VISION:RESULTS(FORMRLY EIGHTY)","Unassigned","Mainframe","MVS","Development","Unified Development Environ","Products - MF Misc"
"Integrated Threat Management",137,"ETRITM8009PUE3110REP5929","Unassigned","Unassigned","Threat Management","Distributed","Distributed","Security","Secure Content Management","Threat Management"
"Repository for Distributed Systems",138,"R425190EPJ3276","REPOSITORY DISTR","REPOSITORY DISTR SCN JAVA","Unassigned","Distributed","Windows","Tools","Othr Programmer Dvlpment Tools","Products - Dist & Testing Tools"
"Distributed Database Tools",139,"DBLBAS994388KS08492","DBA ADVANTAGE","DBA ADVANTAGE LICENSE","Data Management","Distributed","Multi Platform","Data","Database Tools And Utilities","DB Management"
"COOL Teamwork",140,"K4991MGSP3777","COOL:TEAMWK ENSMBL/FNCT","COOL:TEAMWK ENSMBL/FNCT UNDRST","Unassigned","Distributed","Unix","Development","Unified Development Environments","Products - Dist & Testing Tools"
"WSDM",141,"WSDM7744550GR3829","WEB","WEB SRVC DISTR MGMT MGR","Systems Management","Distributed","Multi Platform","Network","Network And Service Management","Application Management"
"Ingres",142,"IN2CRT0513830015004884","INGRES II","INGRES II CHARACTER RUNTIME","Unassigned","Distributed","Windows","Development","Unified Development Environments","Misc Products/Corporate"
"Easytrieve",143,"EZTDBC06797U017419","EASYTRIEVE PLUS","EASYTRIEVE PLUS DBCS OPTION","Unassigned","Mainframe","VSE","Development","Unified Development Environ","Products - MF Output/Easytrieve"
"Training",144,"EDU52049EMC6700","Unassigned","Unassigned","Unassigned","Distributed","Distributed","N/A","N/A","Training"
"Integrated Threat Management",145,"ETRITMN80094484SC55EM4304","Unassigned","Unassigned","Threat Management","Mainframe","IBM MF","Security","Secure Content Management","Threat Management"
"XCOM",146,"XCOMS74500C5558284","XCOM","XCOM","Unassigned","Distributed","Unix","Storage","Other Storage Software","Products - MF Misc"
"BrightStor Enterprise Backup",147,"EBUOSB9907838009795","ENT BACKUP","ENT BACKUP SBU ORA AGENT","Unassigned","Distributed","Windows","Storage","Backup And Archive Software","Storage Recovery Management"
"SSA",148,"HPERS200205051W01670","HRS PERSONNEL","HRS PERSONNEL     500 - 2499","Unassigned","Mainframe","MVS","N/A","N/A","SSA"
"ARCserve Backup",149,"BABW839230U5018","Unassigned","Unassigned","Backup Management","Distributed","Distributed","Storage","Backup And Archive Software","Storage Recovery Management"
"Unicenter Job Management for OpenVMS",150,"SCHUUC034366506327","SCHEDULEIT UNLIMITED","SCHEDULEIT UNLIMITED CONNECTIONS","Unassigned","Distributed","OpenVMS","Network","Job Scheduling","Products - Dist & Testing Tools"
"N/A",151,"851953V61708","Unassigned","UNKNOWN","Unassigned","Distributed","Distributed","N/A","N/A","N/A"
"Unicenter for OpenVMS",152,"V3805XCHM2035","UNICENTER OPEN","UNICENTER OPEN VMS BUNDLE","Unassigned","Distributed","OpenVMS","Network","Performance Management","Products - Dist & Testing Tools"
"AntiVirus",153,"MSEX586766CH02132","ETRUST MICROSOFT","ETRUST MICROSOFT EXCHANGE","Threat Management","Mainframe","IBM 4690 OS","Security","Secure Content Management","Threat Management"
"ARCserve Backup",154,"ARU305567049REA601384","Unassigned","Unassigned","Backup Management","Distributed","Distributed","Storage","Backup And Archive Software","Storage Recovery Management"
"Realia",155,"R4660SYEAC5046","REALIA CICS","REALIA CICS DEVELOPMENT SYSTEM","Unassigned","Distributed","Windows","Development","Unified Development Environ","Products - Dist & Testing Tools"
"Storage Resource Management (SRM)",156,"SRMS25690YB1423","SRM OPT","SRM OPT FOR SYBASE WIN","Unassigned","Distributed","Windows","Storage","SRM","Storage Resource Management"
"ARCserve Backup",157,"GMRBABWB10F303338TR2620","Unassigned","Unassigned","Backup Management","Distributed","Distributed","Storage","Backup And Archive Software","Storage Recovery Management"
"Access Control",158,"ET398360RA1322","Unassigned","Unassigned","Security Management","Distributed","Distributed","Security","IAM","Identity and Access Management"
"Ingres",159,"INGVIS161251B10004820","OPENINGRES","OPENINGRES VISION","Unassigned","Distributed","Unix","Development","Unified Development Environments","Misc Products/Corporate"
"ARCserve Backup for Laptops & Desktops",160,"BMB4218CMP1008899","BRIGHTSTOR MOBILE","BRIGHTSTOR MOBILE BACKUP 100 USER","Unassigned","Mainframe","VM","Storage","Backup And Archive Software","Storage Recovery Management"
"Secure Content Manager",161,"ETRSCM1103C7111TRSMPE4326","ETRUST SECURE","ETRUST SECURE CONTENT MANAGER","Threat Management","Distributed","Distributed","Security","Secure Content Management","Threat Management"
"Secure Content Manager",162,"ET25241RSC7367","Unassigned","Unassigned","Threat Management","Mainframe","ANY IBM MF APD","Security","Secure Content Management","Threat Management"
"BrightStor SAN Designer",163,"BSAND1BP1142882555276","Unassigned","Unassigned","Unassigned","Distributed","Distributed","Storage","Storage Mgt. Sw","Storage Resource Management"
"N/A",164,"321305RMH508943","Unassigned","UNKNOWN","Unassigned","Distributed","Distributed","N/A","N/A","N/A"
"AntiVirus",165,"ETREZAR19569MHE7693","Unassigned","Unassigned","Unassigned","Distributed","Distributed","Security","Secure Content Management","Threat Management"
"Plex",166,"PLX52G0594550-E3628","PLEX OPTION","PLEX OPTION FOR 5250","Unassigned","Distributed","Multi Platform","Development","Unified Development Environments","Products - Dist & Testing Tools"
"N/A",167,"1150-1PC-145500ED9909","Unassigned","UNKNOWN","Unassigned","Distributed","Distributed","N/A","N/A","N/A"
